Civilité,Prenom,Nom,Societe,Site,Departement,Groupes,Service,fonction,Nomenclature,Manager-Prenom,Manager-Nom,Nom de PC,Marque PC,Date de naissance,Telephone fixe,Telephone portable,Télétravail,OUs,Sous-OUs,Sous-sous-OUs,Grp
Mme,Cleo,Dupont,EcoTechSolutions,Bordeaux,Communication,grp-mkt-employés,Communication interne,Community manager,c.dupont,Wassim,Ibrahimovic,PA19149,DELL,14/05/1989  ,0556789012,0736672209  ,Non,Utilisateurs,SERVEURS,SRV-LIN,grp-dir-responsables
M.,Boris,Garcia,EcoTechSolutions,Bordeaux,Communication,grp-mkt-employés,Communication interne,Community manager,b.garcia,Wassim,Ibrahimovic,PA11094,DELL,01/01/1991  ,0576543210,0710630503  ,Non,Machines,PC,SRV-WIN,grp-dir-employés
M.,Wassim,Ibrahimovic,EcoTechSolutions,Bordeaux,Communication,grp-mkt-responsables,,Directrice Communication et Relations publiques,w.ibrahimovic,Emir,Rizzo,PA68385,DELL,14/11/1994  ,0567890123,0628752957  ,Non,Administrateurs,Communication,WINDOWS,grp-dev-responsables
Mme,Farah,Kowalski,EcoTechSolutions,Bordeaux,Communication,grp-mkt-employés,Relation Médias,Chargée relation presse,f.kowalski,Wassim,Ibrahimovic,PA99009,DELL,16/11/1994  ,0587654321,0643567057  ,Non,,Développement,LINUX,grp-dev-employés
M.,Felix,Nguyen,EcoTechSolutions,Bordeaux,Communication,grp-mkt-employés,Communication interne,Chargé en droit de la communication,f.nguyen,Wassim,Ibrahimovic,PA88356,DELL,03/11/1982  ,0512345678,0747070420  ,Non,,Direction,,grp-sc-responsables
M.,Oscar,Rossi,EcoTechSolutions,Bordeaux,Communication,grp-mkt-employés,Communication interne,Chargé de communication,o.rossi,Wassim,Ibrahimovic,PA10218,DELL,17/06/1993  ,0510987654,0707561174  ,Non,,Direction des Ressources Humaines,,grp-sc-employés
M.,Rayan,Sousa,EcoTechSolutions,Bordeaux,Communication,grp-mkt-employés,Relation Médias,Chargée relation presse,r.sousa,Wassim,Ibrahimovic,PA76764,DELL,10/08/1988  ,0534567890,0732836175  ,Non,,DSI,,grp-rh-responsables
M.,Paolo,Weber,EcoTechSolutions,Bordeaux,Communication,grp-mkt-employés,Relation Médias,Rédacteur,p.weber,Wassim,Ibrahimovic,PA92969,DELL,17/11/1992  ,0532109876,0655605121  ,Non,,Finance et Comptabilité,,grp-rh-employés
M.,Ivan,Schmidt,Studio Dlight,Nantes,Communication,grp-mkt-employés,Relation Médias,Monteur,i.schmidt,Wassim,Ibrahimovic,-,-,-,-,0684213048,-,,Service Commercial,,grp-mkt-responsables
M.,Hugo,Dimitrov,EcoTechSolutions,Bordeaux,Développement,grp-dev-responsables,,Directeur Développement,h.dimitrov,Emir,Rizzo,PA93655,TOSHIBA,21/09/1998  ,0512345678,0730413931  ,Non,,,,grp-mkt-employés
Mme,Petra,Hoàng,EcoTechSolutions,Bordeaux,Développement,grp-dev-employés,Développement,Développeur,p.hoàng,Hugo,Dimitrov,PA33002,TOSHIBA,17/05/1991  ,0587654321,0749534624  ,Non,,,,grp-fcpt-responsables
Mme,Carmen,Ivanov,EcoTechSolutions,Bordeaux,Développement,grp-dev-employés,analyse et conception,Développeur,c.ivanov,Hugo,Dimitrov,PA90613,HP,12/10/1993  ,-,-,Non,,,,grp-fcpt-employés
